                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5425,                 3.6544,                 2.0551,                0.00713,                0.30219,                0.05172,                0.01741,                 2.1114,                 3.6364,                 1.8559,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 2.3246,                 3.6147,                 1.8741,                0.00978,                0.40232,                0.12263,                0.03494,                 1.9655,                 3.5891,                 1.6914,             0.00011438,             0.00011438,             0.00011438
                      3,                 2.1414,                 3.5039,                 1.7579,                0.01397,                0.52758,                 0.2125,                0.07958,                 1.8998,                 3.4638,                 1.5387,             0.00017611,             0.00017611,             0.00017611
                      4,                 2.0565,                 3.3414,                 1.5792,                0.01711,                0.59991,                0.21571,                0.08042,                 1.8026,                 3.3606,                 1.3696,              0.0002352,              0.0002352,              0.0002352
                      5,                 2.0486,                 3.0847,                 1.4709,                0.02025,                0.67678,                0.23879,                0.08967,                 1.8309,                 3.3225,                  1.349,             0.00029164,             0.00029164,             0.00029164
                      6,                 2.0034,                 2.9487,                 1.5038,                0.02052,                0.67648,                0.26687,                0.10485,                 1.8042,                 3.3345,                  1.349,             0.00034545,             0.00034545,             0.00034545
                      7,                  1.988,                  2.735,                 1.4978,                0.02049,                0.68131,                0.29147,                 0.1194,                 1.8008,                 3.3953,                 1.4064,             0.00039662,             0.00039662,             0.00039662
                      8,                 1.9423,                 2.5192,                   1.48,                0.02007,                0.67284,                 0.3159,                0.11888,                 1.7779,                 3.4158,                 1.4129,             0.00044515,             0.00044515,             0.00044515
                      9,                 1.9489,                 2.3529,                 1.4705,                0.01923,                0.66042,                0.34489,                0.12526,                 1.7534,                 3.4379,                 1.4101,             0.00049103,             0.00049103,             0.00049103
                     10,                 1.9237,                 2.1263,                 1.4405,                 0.0198,                0.66377,                0.26749,                0.11294,                 1.7521,                 3.4573,                 1.4656,             0.00053428,             0.00053428,             0.00053428
                     11,                 1.9583,                 2.0258,                  1.474,                0.02141,                0.69767,                0.25665,                 0.0965,                  1.714,                 3.5082,                 1.4824,             0.00057488,             0.00057488,             0.00057488
                     12,                 1.8316,                 1.8102,                 1.4294,                0.02118,                0.70703,                0.25415,                0.11765,                 1.7059,                 3.5392,                 1.4879,             0.00061285,             0.00061285,             0.00061285
                     13,                 1.8896,                 1.7937,                 1.4175,                0.02159,                0.70644,                0.31785,                 0.1448,                 1.7192,                 3.5063,                 1.4992,             0.00064817,             0.00064817,             0.00064817
                     14,                 1.8576,                 1.6825,                 1.3992,                0.02319,                0.72673,                0.23847,                0.08958,                 1.7574,                 3.4832,                 1.5316,             0.00068085,             0.00068085,             0.00068085
